title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Wizard of Oz,1h 42min,Adventure; Family; Fantasy,Victor Fleming; George Cukor,Noel Langley; Florence Ryerson,Judy Garland; Frank Morgan; Ray Bolger,8.0,"330,696"
The Bourne Ultimatum,1h 55min,Action; Mystery; Thriller,Paul Greengrass,Tony Gilroy; Scott Z. Burns,Matt Damon; Edgar Ramírez; Joan Allen,8.0,"555,821"
Annie Hall,1h 33min,Comedy; Romance,Woody Allen,Woody Allen; Marshall Brickman,Woody Allen; Diane Keaton; Tony Roberts,8.0,"225,068"
Dead Poets Society,2h 8min,Comedy; Drama,Peter Weir,Tom Schulman,Robin Williams; Robert Sean Leonard; Ethan Hawke,8.1,"328,158"
8½,2h 18min,Drama,Federico Fellini,Federico Fellini; Ennio Flaiano,Marcello Mastroianni; Anouk Aimée; Claudia Cardinale,8.1,"92,940"
Jaws,2h 4min,Adventure; Drama; Thriller,Steven Spielberg,Peter Benchley; Carl Gottlieb,Roy Scheider; Robert Shaw; Richard Dreyfuss,8.0,"475,662"
Faa yeung nin wa,1h 38min,Drama; Romance,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung; Maggie Cheung; Ping Lam Siu,8.1,"94,970"
The Help,2h 26min,Drama,Tate Taylor,Tate Taylor; Kathryn Stockett,Emma Stone; Viola Davis; Octavia Spencer,8.1,"367,549"
De beste jaren van ons leven,2h 50min,Drama; Romance; War,William Wyler,Robert E. Sherwood; MacKinlay Kantor,Myrna Loy; Dana Andrews; Fredric March,8.1,"49,175"
"Paris, Texas",2h 25min,Drama,Wim Wenders,L.M. Kit Carson; Sam Shepard,Harry Dean Stanton; Nastassja Kinski; Dean Stockwell,8.1,"65,261"
Mou gaan dou,1h 41min,Crime; Drama; Mystery,Wai-Keung Lau; Alan Mak,Alan Mak; Felix Chong,Andy Lau; Tony Chiu-Wai Leung; Anthony Chau-Sang Wong,8.1,"106,516"
Twelve Monkeys,2h 9min,Mystery; Sci-Fi; Thriller,Terry Gilliam,Chris Marker; David Webb Peoples,Bruce Willis; Madeleine Stowe; Brad Pitt,8.0,"518,211"
Trois couleurs: Rouge,1h 39min,Drama; Mystery; Romance,Krzysztof Kieslowski,Krzysztof Kieslowski; Krzysztof Piesiewicz,Irène Jacob; Jean-Louis Trintignant; Frédérique Feder,8.1,"73,336"
Belle en het Beest,1h 24min,Animation; Family; Fantasy,Gary Trousdale; Kirk Wise,Linda Woolverton; Brenda Chapman,Paige O'Hara; Robby Benson; Jesse Corti,8.0,"363,843"
Before Sunset,1h 20min,Drama; Romance,Richard Linklater,Richard Linklater; Julie Delpy,Ethan Hawke; Julie Delpy; Vernon Dobtcheff,8.1,"191,303"
Gangs of Wasseypur,5h 21min,Action; Crime; Drama,Anurag Kashyap,Akhilesh Jaiswal; Anurag Kashyap,Manoj Bajpayee; Richa Chadha; Nawazuddin Siddiqui,8.2,"60,656"
Dog Day Afternoon,2h 5min,Biography; Crime; Drama,Sidney Lumet,Frank Pierson; P.F. Kluge,Al Pacino; John Cazale; Penelope Allen,8.0,"207,398"
Akira,2h 4min,Animation; Action; Drama,Katsuhiro Ôtomo,Katsuhiro Ôtomo; Izô Hashimoto,Mitsuo Iwata; Nozomu Sasaki; Mami Koyama,8.1,"125,128"
PK,2h 33min,Comedy; Drama; Fantasy,Rajkumar Hirani,Rajkumar Hirani; Abhijat Joshi,Aamir Khan; Anushka Sharma; Sanjay Dutt,8.2,"120,245"
