HDI Rank (2015);Country;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015
16; United Kingdom;13.7;15;16.4;17.1;16.8;16.2;16.2;16.6;16.7;16.7
10; United States;15.8;16.4;16;16.8;17.5;17.6;17.5;17.3;17.3;17.3
54; Uruguay;;14.2;15;16.2;16.6;16.6;16.6;16.6;16.6;16.6
105; Uzbekistan;;10.6;10.6;11.6;11.8;11.8;11.8;11.8;11.8;11.8
134; Vanuatu;;7;10.1;10.3;10.4;10.4;10.4;10.4;10.4;10.4
71; Venezuela (Bolivarian Republic of);;11.2;10.9;13.2;15.2;15.3;15.3;15.4;15.4;15.4
115; Viet Nam;;8.9;10.1;11.1;12.1;12.3;12.5;12.7;12.9;12.9
168; Yemen;;4.7;5.1;6.6;7.2;7.6;7.6;7.6;7.6;7.6
139; Zambia;;;;;10.2;10.3;10.5;10.5;10.6;12.1
154; Zimbabwe;9.3;9.4;9.4;9.3;10;10.1;10.3;10.2;10.2;10.2
a: Updated by HDRO based on data from UNESCO Institute for Statistics (2016)b: Data refer to 2015 or the most recent year available.<br />c: Updated by HDRO based on data from ICF Macro Demographic and Health Surveys for 2006-2015.<br />;;;;;;;;;;;
